# Range shifter catalog -- WPE, Westdeutsches Protonentherapiezentrum Essen, Germany
#
# Thicknesses and densities below are as stated by the centre. Note that the IDs do not
# encode the thickness: "RS51" is 44.4 mm, not 51 mm. Never infer a thickness from an ID.
#
# Not every shifter is the tabulated 1.20 g/cm3 of ICRU/NIST Lexan -- RS51 and RS25 are
# cast at 1.19, so they carry an explicit density. RS74 is at the tabulated density and
# leaves the column empty, which means "use the material's own density".
#
# id, thickness [mm], material, density [g/cm3] (optional)
RS74,65.0,Lexan
RS51,44.4,Lexan,1.19
RS25,21.6,Lexan,1.19
